OTU.rep	Domain	Phylum	Class	Order	Family	Genus
unclassified	undef	undef	undef	undef	undef	undef
AACY024102418.157.1623	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
KC003383.1.1321	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU394547.1.1451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
X52169.1.1473	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU802966.1.1361	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU802925.1.1450	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	NA	NA
AY664224.1.1233	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU940990.1.1405	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
GU940771.1.1349	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
FJ745117.1.1319	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EF572471.1.1459	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
AM747321.1.1243	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802283.1.1251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
U40238.31654.33126	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
GQ348500.1.1314	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
AACY020564593.3718.5259	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
AJXC01019507.1.1272	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020549891.3846.5359	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EF572127.1.1520	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
KC001820.1.1315	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU801991.1.1263	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
EU802280.1.1361	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU800764.1.1362	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter
DQ009453.1.1963	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
AACY020562322.3851.5364	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EU802362.1.1310	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
DQ009125.1.1942	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
DQ299286.1.1392	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
AACY020487638.121.1594	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group
AACY020481938.3418.4929	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
EU802623.1.1438	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU686623.12708.14181	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
KC001946.1.1313	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802424.1.1247	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EF572710.1.1498	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
AACY020565564.130.1652	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417 marine group
AACY020125842.54.1493	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
DQ009141.1.1996	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	NA
GU940743.1.1341	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AY664087.1.1207	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU802641.1.1377	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
JX945349.1.1357	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
HQ216327.1.1233	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
HQ163443.1.1344	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU804641.1.1462	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	NA	NA
EU800727.1.1251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU795287.4965.6516	Bacteria	Planctomycetes	Planctomycetacia	Brocadiales	Brocadiaceae	Candidatus Scalindua
EF572791.1.1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU803117.1.1251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
FJ745080.1.1326	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU941067.1.1343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
JQ347414.1.1492	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella
EU802563.1.1450	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU940846.1.1513	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
AACY020396101.1882.3388	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
AY664104.1.1218	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
GU234305.1.1334	Archaea	Thaumarchaeota	Marine Group I	NA	NA	NA
FQ032828.26868.28381	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS2b marine group
EU237344.1.1311	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
JN547444.1.1442	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EU803081.1.1252	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EF571939.1.1526	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
GQ349089.1.1337	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
EU802420.1.1442	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
AY726967.1.1236	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
JX945367.1.1372	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus
EF574411.1.1527	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	NA
EU802707.1.1478	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	NA
AY664234.1.1252	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	NA
HQ672001.1.1446	Bacteria	Cyanobacteria	Chloroplast	NA	NA	NA
EU801992.1.1230	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
EU802548.1.1445	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
AB193978.1.1441	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	NA
EU802929.1.1358	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	NA	NA
